Region,Soil_Type,Crop,Rainfall_mm,Temperature_Celsius,Fertilizer_Used,Irrigation_Used,Weather_Condition,Days_to_Harvest,Yield_tons_per_hectare
West,Sandy,Cotton,897.0772391101236,27.676966373377603,False,True,Cloudy,122,6.555816258223593
South,Clay,Rice,992.6732816189208,18.02614225436302,True,True,Rainy,140,8.5273409063236
North,Loam,Barley,147.9980252926104,29.79404241557257,False,False,Sunny,106,1.127443335982929
North,Sandy,Soybean,986.8663313367325,16.64419019137728,False,True,Rainy,146,6.517572507555278
South,Silt,Wheat,730.379174445627,31.620687370805797,True,True,Cloudy,110,7.248251218445701
South,Silt,Soybean,797.4711823962564,37.70497446941277,False,True,Rainy,74,5.898416311841461
West,Clay,Wheat,357.90235724297685,31.59343138976995,False,False,Rainy,90,2.652391664619867
South,Sandy,Rice,441.13115357285005,30.88710699523619,True,True,Sunny,61,5.8295423488104605
North,Silt,Wheat,181.5878606243205,26.752728580811905,True,False,Sunny,127,2.9437164569313867
West,Sandy,Wheat,395.0489682684721,17.646198956255336,False,True,Rainy,140,3.7072931271974823
North,Peaty,Wheat,385.13531445805074,21.656191734884608,False,False,Sunny,73,2.564442460083202
East,Sandy,Cotton,145.3006808203336,19.755534985496798,True,True,Cloudy,141,4.367612094467675
South,Peaty,Cotton,607.1502520374111,15.562163303832799,True,True,Sunny,136,6.52518615986143
East,Clay,Barley,929.1237352255479,29.677303136616587,False,True,Rainy,134,6.493030751726615
North,Peaty,Barley,621.7783877484308,26.84317297586692,True,False,Rainy,77,4.573219247646045
East,Chalky,Rice,874.4567441463316,27.25686895920963,True,False,Sunny,115,5.839291310818685
East,Peaty,Wheat,787.0843057303451,25.67291966184147,False,False,Cloudy,68,4.366880610019926
North,Clay,Cotton,416.89863161137146,23.190810033747198,True,True,Sunny,95,4.858924380158361
North,Sandy,Barley,977.2590830506161,17.604099566685584,False,True,Sunny,93,5.778099045403636
South,Clay,Maize,888.2076302639031,39.94550938125255,True,False,Rainy,76,7.173036676685684
East,Clay,Cotton,990.2674389917205,24.072051874161374,False,True,Sunny,110,6.187396154053483
West,Loam,Barley,183.93969838148877,34.227923053913315,True,False,Cloudy,99,3.0179236315177227
West,Clay,Rice,935.8027653422682,20.887774247994052,True,True,Rainy,71,7.756962285193038
North,Loam,Wheat,824.4399398812649,29.847431986455224,False,False,Sunny,100,4.551048007491094
North,Peaty,Cotton,480.3051867874565,35.461985559261684,False,False,Rainy,121,2.9393379280368523
East,Chalky,Maize,170.81445624277274,29.11637667829559,False,True,Sunny,133,2.332254903516705
North,Clay,Wheat,615.3492037342064,27.75563189979995,True,False,Rainy,142,4.876587312241911
West,Silt,Barley,334.7285762625228,31.13704657931946,True,True,Sunny,140,4.459294446958366
South,Silt,Maize,259.4181250519924,17.261892464157807,False,False,Sunny,110,2.338540521338672
South,Loam,Wheat,786.7701030524628,23.199371365983666,True,True,Rainy,123,6.9375893499971095
East,Silt,Maize,609.7987642233954,38.26585114142303,True,False,Cloudy,127,5.113587741208609
South,Silt,Rice,476.68277886205095,29.34104312112291,True,True,Sunny,67,6.407034488837372
North,Clay,Wheat,356.8231001143165,36.57779720106093,True,False,Cloudy,130,4.007912822234725
North,Loam,Soybean,600.1997541490214,20.935360153951528,True,False,Sunny,75,4.8981807530789006
North,Loam,Rice,180.72037671705868,18.21203323282703,False,False,Rainy,83,0.801898156731799
North,Sandy,Barley,475.78193494832936,22.946253681778643,False,False,Rainy,94,3.60749638077961
East,Clay,Maize,599.8754926988229,19.909292317255968,True,False,Cloudy,63,4.696425465494829
